time,open,high,low,close,volume
2026-06-25T19:10:00Z,733.09,733.2,732.82,732.84,136146
2026-06-25T19:12:00Z,732.84,733,732.38,732.49,161310
2026-06-25T19:14:00Z,732.48,732.61,732.02,732.24,391065
2026-06-25T19:16:00Z,732.24,732.62,731.87,731.96,112734
2026-06-25T19:18:00Z,731.94,732.29,731.89,732.23,122759
2026-06-25T19:20:00Z,732.25,732.54,732.03,732.28,110931
2026-06-25T19:22:00Z,732.31,732.63,732.11,732.46,130660
2026-06-25T19:24:00Z,732.44,732.85,732.39,732.64,72675
2026-06-25T19:26:00Z,732.64,732.71,732.26,732.26,75709
2026-06-25T19:28:00Z,732.29,732.66,732.05,732.39,179278
2026-06-25T19:30:00Z,732.39,732.5,731.76,731.92,181681
2026-06-25T19:32:00Z,731.92,732.23,731.82,732.06,180185
2026-06-25T19:34:00Z,732.05,732.26,731.87,731.91,137498
2026-06-25T19:36:00Z,731.9,732.15,731.69,731.96,194286
2026-06-25T19:38:00Z,731.97,732.12,731.72,732.09,161534
2026-06-25T19:40:00Z,732.09,732.33,731.6,732.06,216848
2026-06-25T19:42:00Z,732.04,732.26,731.85,732.08,183402
2026-06-25T19:44:00Z,732.08,732.21,731.59,731.65,225803
2026-06-25T19:46:00Z,731.65,732.03,731.47,731.68,327490
2026-06-25T19:48:00Z,731.65,731.8,731.36,731.76,336455
2026-06-25T19:50:00Z,731.76,732.08,731.33,731.93,425041
2026-06-25T19:52:00Z,731.92,732.61,731.88,732.38,269685
2026-06-25T19:54:00Z,732.37,732.86,732.16,732.42,363060
2026-06-25T19:56:00Z,732.41,732.67,732.16,732.25,402893
2026-06-25T19:58:00Z,732.26,733.38,731.94,733.35,1761590
2026-06-26T13:30:00Z,728.95,729.42,727.99,729.29,742432
2026-06-26T13:32:00Z,729.3,729.66,727.23,727.28,511561
2026-06-26T13:34:00Z,727.26,728.83,726.86,728.77,440956
2026-06-26T13:36:00Z,728.78,729.13,727.88,728.24,246668
2026-06-26T13:38:00Z,728.29,728.81,727.93,728.13,220792
2026-06-26T13:40:00Z,728.11,728.47,727.73,728.12,190044
2026-06-26T13:42:00Z,728.12,729.42,728.06,729.01,213985
2026-06-26T13:44:00Z,729.02,729.43,727.97,728.09,234210
2026-06-26T13:46:00Z,728.09,729.76,728.01,729.3,262375
2026-06-26T13:48:00Z,729.28,729.8,728.46,728.71,197262
2026-06-26T13:50:00Z,728.65,729.65,728.65,729.4,253880
2026-06-26T13:52:00Z,729.4,729.51,728.52,728.77,152365
2026-06-26T13:54:00Z,728.76,729.78,728.73,729.46,124228
2026-06-26T13:56:00Z,729.44,731.31,729.3,731.11,344988
2026-06-26T13:58:00Z,731.11,731.17,730.39,730.9,268549
2026-06-26T14:00:00Z,730.87,731.99,730.63,731.61,342538
2026-06-26T14:02:00Z,731.59,731.92,731.22,731.7,230047
2026-06-26T14:04:00Z,731.71,732.65,731.63,732.3,298933
2026-06-26T14:06:00Z,732.29,732.97,732.22,732.62,265676
2026-06-26T14:08:00Z,732.67,733.15,732.6,733.02,176406
2026-06-26T14:10:00Z,733,733.24,732.4,732.64,276068
2026-06-26T14:12:00Z,732.64,733.44,732.48,733.34,208116
2026-06-26T14:14:00Z,733.3,733.44,732.92,733.04,124784
2026-06-26T14:16:00Z,733.09,733.57,732.44,732.49,170837
2026-06-26T14:18:00Z,732.48,732.93,732.47,732.61,156469
2026-06-26T14:20:00Z,732.61,734.25,732.47,733.76,317826
2026-06-26T14:22:00Z,733.76,733.89,733.43,733.47,124780
2026-06-26T14:24:00Z,733.44,733.84,733.33,733.69,176550
2026-06-26T14:26:00Z,733.68,733.93,733.33,733.8,141090
2026-06-26T14:28:00Z,733.76,733.94,733.24,733.49,118765
2026-06-26T14:30:00Z,733.49,733.92,733.26,733.53,155562
2026-06-26T14:32:00Z,733.53,733.62,733.02,733.26,157777
2026-06-26T14:34:00Z,733.29,733.79,732.88,732.93,127134
2026-06-26T14:36:00Z,732.91,733,732.33,732.36,218987
2026-06-26T14:38:00Z,732.39,732.69,732.12,732.18,127362
2026-06-26T14:40:00Z,732.17,732.57,731.6,732.38,240006
2026-06-26T14:42:00Z,732.36,733.08,732.22,732.39,128293
2026-06-26T14:44:00Z,732.37,732.59,732.05,732.36,104649
2026-06-26T14:46:00Z,732.35,733.02,732.35,732.77,114126
2026-06-26T14:48:00Z,732.75,733.38,732.63,732.88,118754
2026-06-26T14:50:00Z,732.9,733.23,732.67,732.87,116581
2026-06-26T14:52:00Z,732.87,732.95,732.31,732.33,115497
2026-06-26T14:54:00Z,732.32,732.67,732.11,732.18,98631
2026-06-26T14:56:00Z,732.19,732.91,731.86,732.65,153503
2026-06-26T14:58:00Z,732.63,732.98,732.28,732.45,68557
2026-06-26T15:00:00Z,732.46,733.37,732.44,733.06,92173
2026-06-26T15:02:00Z,733.1,733.4,732.78,733.23,81169
2026-06-26T15:04:00Z,733.24,733.28,732.38,732.47,102503
2026-06-26T15:06:00Z,732.48,732.77,732.28,732.76,87431
2026-06-26T15:08:00Z,732.73,733.16,732.36,733.06,121819
2026-06-26T15:10:00Z,733.06,733.22,732.38,732.47,89968
2026-06-26T15:12:00Z,732.49,732.54,732.02,732.18,120566
2026-06-26T15:14:00Z,732.17,732.23,731.62,731.87,138431
2026-06-26T15:16:00Z,731.87,733.11,731.76,732.79,137422
2026-06-26T15:18:00Z,732.81,733.23,732.59,733.06,153467
2026-06-26T15:20:00Z,733.03,733.37,732.82,733.1,145267
2026-06-26T15:22:00Z,733.1,733.85,733.02,733.71,158176
2026-06-26T15:24:00Z,733.68,734.2,733.49,734.12,174512
2026-06-26T15:26:00Z,734.1,734.34,733.97,734.01,170071
2026-06-26T15:28:00Z,734.03,734.67,733.78,734.67,149893
2026-06-26T15:30:00Z,734.67,735.61,734.66,735.18,268452
2026-06-26T15:32:00Z,735.21,735.21,734.5,734.54,116464
2026-06-26T15:34:00Z,734.53,734.89,734.37,734.83,110399
2026-06-26T15:36:00Z,734.82,735.87,734.75,735.6,167309
2026-06-26T15:38:00Z,735.6,735.96,735.44,735.75,171371
2026-06-26T15:40:00Z,735.8,735.98,735.54,735.54,153753
2026-06-26T15:42:00Z,735.54,736.53,735.54,736.33,246915
2026-06-26T15:44:00Z,736.34,736.52,736.07,736.1,178802
2026-06-26T15:46:00Z,736.12,736.19,735.56,735.67,95077
2026-06-26T15:48:00Z,735.68,735.86,735.54,735.57,100314
2026-06-26T15:50:00Z,735.58,736.04,734.37,734.62,359955
2026-06-26T15:52:00Z,734.66,735.23,734.61,734.79,134762
2026-06-26T15:54:00Z,734.81,735.07,734.18,735.04,184219
2026-06-26T15:56:00Z,735.05,735.87,735.04,735.6,160471
2026-06-26T15:58:00Z,735.57,735.65,735.08,735.4,112523
2026-06-26T16:00:00Z,735.4,735.52,735.14,735.33,92006
2026-06-26T16:02:00Z,735.34,735.51,735.09,735.18,106151
2026-06-26T16:04:00Z,735.18,735.43,734.98,735.1,143663
2026-06-26T16:06:00Z,735.12,735.25,734.8,734.83,105719
2026-06-26T16:08:00Z,734.82,734.92,734.12,734.25,142725
2026-06-26T16:10:00Z,734.24,734.49,734.06,734.29,112145
2026-06-26T16:12:00Z,734.26,734.29,733.8,734.09,106578
2026-06-26T16:14:00Z,734.05,734.27,733.87,734.12,77813
2026-06-26T16:16:00Z,734.14,734.63,733.88,734.21,91216
2026-06-26T16:18:00Z,734.21,734.32,733.78,734,77742
2026-06-26T16:20:00Z,734.01,734.14,732.74,732.94,248889
2026-06-26T16:22:00Z,732.93,733.33,732.8,733.25,164977
2026-06-26T16:24:00Z,733.25,733.6,733.18,733.21,102866
2026-06-26T16:26:00Z,733.23,733.59,733.11,733.53,84424
2026-06-26T16:28:00Z,733.52,733.64,733.26,733.42,78976
2026-06-26T16:30:00Z,733.4,734.14,733.4,733.98,205512
2026-06-26T16:32:00Z,733.98,734.49,733.83,734.3,87937
2026-06-26T16:34:00Z,734.29,734.78,734.23,734.57,90232
2026-06-26T16:36:00Z,734.54,734.78,734.22,734.58,108803
2026-06-26T16:38:00Z,734.57,734.69,734.29,734.39,64777
2026-06-26T16:40:00Z,734.42,734.64,734.08,734.3,109803
2026-06-26T16:42:00Z,734.32,734.62,734.19,734.4,74927
2026-06-26T16:44:00Z,734.36,734.61,733.92,734.16,98396
2026-06-26T16:46:00Z,734.16,734.29,733.85,734.16,75557
2026-06-26T16:48:00Z,734.18,734.39,734.08,734.36,93279
2026-06-26T16:50:00Z,734.36,734.79,734.28,734.57,160515
2026-06-26T16:52:00Z,734.54,734.8,734.43,734.8,55916
2026-06-26T16:54:00Z,734.81,734.9,734.3,734.41,85752
2026-06-26T16:56:00Z,734.38,734.48,734.27,734.36,43942
2026-06-26T16:58:00Z,734.37,734.55,734.25,734.47,43818
2026-06-26T17:00:00Z,734.48,735.1,734.17,734.97,89850
2026-06-26T17:02:00Z,734.97,735.19,734.88,734.9,123039
2026-06-26T17:04:00Z,734.91,735.16,734.81,735.07,87731
2026-06-26T17:06:00Z,735.06,735.17,734.92,735,69036
2026-06-26T17:08:00Z,734.97,735.79,734.97,735.65,187913
2026-06-26T17:10:00Z,735.62,735.86,735.25,735.28,112686
2026-06-26T17:12:00Z,735.28,735.37,734.94,734.95,69711
2026-06-26T17:14:00Z,734.94,735.16,734.62,734.68,109605
2026-06-26T17:16:00Z,734.69,734.98,734.32,734.37,85113
2026-06-26T17:18:00Z,734.38,734.63,734.29,734.44,102953
2026-06-26T17:20:00Z,734.45,734.59,733.97,734.34,78621
2026-06-26T17:22:00Z,734.33,734.62,733.97,734.04,94425
2026-06-26T17:24:00Z,734.04,734.19,733.79,733.9,83762
2026-06-26T17:26:00Z,733.88,734.74,733.82,734.65,85607
2026-06-26T17:28:00Z,734.69,734.98,734.67,734.72,119227
2026-06-26T17:30:00Z,734.72,735.39,734.5,734.56,156728
2026-06-26T17:32:00Z,734.56,734.94,734.45,734.82,117168
2026-06-26T17:34:00Z,734.8,734.98,734.14,734.34,80150
2026-06-26T17:36:00Z,734.34,734.5,734.15,734.32,77023
2026-06-26T17:38:00Z,734.32,734.39,733.99,734.05,44731
2026-06-26T17:40:00Z,734.05,734.1,733.62,733.81,89530
2026-06-26T17:42:00Z,733.8,734.53,733.75,734.29,101643
2026-06-26T17:44:00Z,734.24,734.47,734.15,734.3,54574
2026-06-26T17:46:00Z,734.3,734.38,734.12,734.2,48612
2026-06-26T17:48:00Z,734.24,734.41,733.84,733.86,63768
2026-06-26T17:50:00Z,733.86,734.1,733.8,734.09,56878
2026-06-26T17:52:00Z,734.09,734.22,733.94,733.94,62377
2026-06-26T17:54:00Z,733.98,734.32,733.77,733.78,101953
2026-06-26T17:56:00Z,733.78,733.79,733.47,733.67,95944
2026-06-26T17:58:00Z,733.66,734.02,733.65,733.66,72580
2026-06-26T18:00:00Z,733.69,734.05,733.63,733.91,111153
2026-06-26T18:02:00Z,733.91,734.12,733.73,734.12,73591
2026-06-26T18:04:00Z,734.12,734.5,734.11,734.37,101637
2026-06-26T18:06:00Z,734.38,734.59,734.04,734.06,83638
2026-06-26T18:08:00Z,734.07,734.4,734.04,734.19,96889
2026-06-26T18:10:00Z,734.15,734.34,733.9,734.33,93718
2026-06-26T18:12:00Z,734.32,734.44,733.95,733.99,97755
2026-06-26T18:14:00Z,733.96,734.22,733.81,733.86,119758
2026-06-26T18:16:00Z,733.83,733.9,733.54,733.64,110668
2026-06-26T18:18:00Z,733.67,733.77,733.24,733.4,165563
2026-06-26T18:20:00Z,733.4,733.62,733.24,733.51,100062
2026-06-26T18:22:00Z,733.47,733.67,733.39,733.53,132511
2026-06-26T18:24:00Z,733.51,733.67,733.35,733.45,112273
2026-06-26T18:26:00Z,733.46,733.61,733,733.1,140299
2026-06-26T18:28:00Z,733.1,733.11,732.74,732.83,284829
